Pollutant,MAE,RMSE
PM2.5 (ug/m3),15.340596029262544,21.235962195684763
PM10 (ug/m3),21.26335776409206,28.9345765862522
NO (ug/m3),7.139842861680098,9.801284069916369
NO2 (ug/m3),13.011952009730685,16.81515506266436
NOx (ppb),11.845798579698645,15.00218305956894
NH3 (ug/m3),1.8471667845855912,2.9560650317629524
SO2 (ug/m3),2.449040638809645,4.312088318511627
CO (mg/m3),0.23598066458659794,0.2962282286325033
Ozone (ug/m3),9.132449215335606,11.859816053185499
Benzene (ug/m3),0.5286659968748941,0.8008049695578847
Toluene (ug/m3),1.5550569516448844,2.8640882753426604
