Pollutant,MAE,RMSE,Baseline_MAE,Baseline_RMSE,MAE_Improvement_%
PM2.5 (ug/m3),15.340596029262544,21.235962195684763,12.90224549886137,18.208320825134564,-18.898652413770602
PM10 (ug/m3),21.26335776409206,28.9345765862522,20.13104833831483,28.42006030729407,-5.62469180316923
NO (ug/m3),7.139842861680098,9.801284069916369,7.262115802021063,11.803346259386764,1.6837095920026068
NO2 (ug/m3),13.011952009730685,16.81515506266436,10.704145495303163,15.026824298822616,-21.559932228501165
NOx (ppb),11.845798579698645,15.00218305956894,11.049215538713351,15.82072360779152,-7.209408108605447
NH3 (ug/m3),1.8471667845855912,2.9560650317629524,1.441352512097922,3.1425478054790252,-28.155102175317065
SO2 (ug/m3),2.449040638809645,4.312088318511627,2.9279602547680046,5.298003862129832,16.35676629074689
CO (mg/m3),0.23598066458659794,0.2962282286325033,0.15485617705664673,0.21909258786007219,-52.38698841201259
Ozone (ug/m3),9.132449215335606,11.859816053185499,7.691534834898949,11.553466975310368,-18.733769154873603
Benzene (ug/m3),0.5286659968748941,0.8008049695578847,0.48224468047253066,0.8490150055697528,-9.626091957484576
Toluene (ug/m3),1.5550569516448844,2.8640882753426604,1.42217956518645,3.44508541594602,-9.343221468733033
